Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus ,30,30,,XY,,Animal Karyotype Book,Bronner 1995a,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,iris,34,34,,XY,,Animal Karyotype Book,Capanna et al. 1989,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Neamblysomus,julianae,31,31,,XY,,Animal Karyotype Book,Bronner 1995a,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Chlorotalpa,duthieae,30,30,,XY,,Animal Karyotype Book,Bronner 1995a,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Chlorotalpa,sclateri,30,30,,XY,,Animal Karyotype Book,Bronner 1995a,,,,,,,,,,,,,,
Afrosoricida,Tenrecidae,Echinops,telfairi,40,40,,XY,,Animal Karyotype Book,Benirschke 1969,,,,,,,,,,,,,,
Afrosoricida,Tenrecidae,Microgale,dobsoni,30,30,,XY,,Blackmon,,,,,,,,,,,,,,,
Afrosoricida,Tenrecidae,Tenrec,ecaudatus,38,38,,XY,,Blackmon,,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Chrysochloris,asiatica,30,30,,XY,,Animal Karyotype Book 2020,Robinson et al. 2004,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Cryptochloris,zyli,30,30,,XY,,Animal Karyotype Book 2020,Gilbert et al. 2006,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,robustus,36,36,,XY,,Animal Karyotype Book 2020,Gilbert et al 2008,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus longiceps,30,30,,XY,,Animal Karyotype Book 2020,Gilbert et al 2008,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus meesteri,30,30,,XY,,Animal Karyotype Book 2020,Gilbert et al 2008,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus pondoliae,30,30,,XY,,Animal Karyotype Book 2020,Gilbert et al 2008,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Chrysospalax ,trevelyani,30,30,,XY,,Animal Karyotype Book 2020,Gilbert et al. 2006,,,,,,,,,,,,,,
Afrosoricida,Chrysochloridae,Eremitalpa,granti,26,26,,XY,,Animal Karyotype Book 2020,Gilbert et al. 2006,,,,,,,,,,,,,,
