"order","species","haploid","sex.system","SCS"
"Mantodea","Acanthops_falcata",10,"","XO"
"Mantodea","Liturgusa_cursor",17,"","XO"
"Mantodea","Liturgusa_maya",9,"","XO"
"Mantodea","Antemna_rapax",14,"","complex XY"
"Mantodea","Archimantis_sobrina",14,"","complex XY"
"Mantodea","Parathespis_humbertiana",16,"","XO"
"Mantodea","Polyspilota_aeruginosa",14,"","complex XY"
"Mantodea","Tenodera_aridifolia",14,"","complex XY"
"Mantodea","Tenodera_australasiae",14,"","complex XY"
"Mantodea","Tenodera_superstitiosa",14,"","complex XY"
"Mantodea","Cheddikulama_straminea",14,"","complex XY"
"Mantodea","Choeradodis_rhombicollis",16,"","complex XY"
"Mantodea","Hierodula_patellifera",14,"","complex XY"
"Mantodea","Statilia_maculata",14,"","complex XY"
"Mantodea","Mantis_religiosa",14,"","complex XY"
"Mantodea","Harpagomantis_tricolor",13,"","XO"
"Mantodea","Creobroter_laevicollis",14,"","XO"
"Mantodea","Didymocorypha_lanceolata",8,"","XO"
"Mantodea","Bolbe_pallida",15,"","XO"
"Mantodea","Cliomantis_cornuta",13,"","XO"
"Mantodea","Schizocephala_bicornis",15,"","XO"
"Mantodea","Callimantis_antillarum",9,"","XO"
"Mantodea","Dystacta_alticeps",13,"","XO"
"Mantodea","Humbertiella_similis",16,"","XO"
"Mantodea","Thesprotia_graminis",15,"","XO"
"Mantodea","Pseudomiopteryx_infuscata",9,"","XO"
"Isoptera","Amitermes_darwini",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Amitermes_germanus",21,"",""
"Isoptera","Amitermes_parvus",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Drepanotermes_septentrionalis",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Ephelotermes_melachoma",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Ephelotermes_taylori",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Macrognathotermes_sunteri",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Lophotermes_septentrionalis",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Tuberculitermes_bycanistes",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Crenetermes_albotarsalis",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Thoracotermes_macrothorax",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Microcerotermes_boreus",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Microcerotermes_nervosus",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Nasutitermes_graveolus",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Nasutitermes_triodiae",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Nasutitermes_longipennis",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Tumulitermes_pastinator",21,"gonochorous","complex XY|homomorphic"
"Isoptera","Macrotermes_bellicosus",21,"gonochorous","complex XY|homomorphic"
